,pred_ARTS_CULTURE,pred_BUSINESS_MONEY,pred_COMEDY_WEIRD,pred_CRIME,pred_EDUCATION,pred_ENTERTAINMENT,pred_ENVIRONMENT_GREEN,pred_FOOD_DRINK,pred_HEALTH_WELLNESS,pred_HOME_LIVING,pred_IDENTITY_VOICES,pred_LIFESTYLE,pred_PARENTING,pred_POLITICS,pred_RELATIONSHIPS,pred_RELIGION,pred_SCIENCE_TECH,pred_SPORTS,pred_STYLE_BEAUTY,pred_TRAVEL,pred_WOMEN,pred_WORLD_NEWS
true_ARTS_CULTURE,366,0,19,0,2,76,5,6,17,6,11,8,8,10,0,1,13,4,8,13,7,8
true_BUSINESS_MONEY,5,746,6,4,8,9,17,21,67,10,5,36,27,83,6,2,33,9,14,18,16,20
true_COMEDY_WEIRD,11,11,667,35,2,172,36,25,28,4,16,23,26,74,9,5,14,17,12,14,11,13
true_CRIME,0,7,25,340,2,4,7,0,7,1,19,14,7,50,1,0,1,4,1,0,1,43
true_EDUCATION,3,10,1,3,187,10,1,1,15,3,8,13,19,30,0,2,2,6,0,1,5,4
true_ENTERTAINMENT,39,13,94,18,1,2430,5,6,24,7,73,12,27,111,9,5,11,22,49,10,42,37
true_ENVIRONMENT_GREEN,1,8,15,3,0,4,407,4,18,1,1,22,4,52,0,1,16,0,3,16,0,33
true_FOOD_DRINK,2,7,13,0,0,6,6,1115,44,10,3,3,10,5,1,2,0,0,6,25,3,4
true_HEALTH_WELLNESS,5,39,15,1,12,18,15,49,3091,15,9,89,99,66,19,7,29,10,34,29,29,14
true_HOME_LIVING,4,12,2,0,0,1,1,12,20,545,2,1,6,0,5,1,1,0,21,9,0,0
true_IDENTITY_VOICES,23,5,20,24,9,187,0,1,29,4,1156,26,40,132,8,11,4,23,32,8,26,40
true_LIFESTYLE,10,26,39,1,8,17,26,9,109,4,17,469,48,42,8,6,12,6,4,13,14,54
true_PARENTING,2,9,24,6,19,27,1,12,74,5,13,68,1557,13,23,0,9,4,10,9,12,2
true_POLITICS,16,56,62,35,31,144,33,5,30,0,102,36,19,4437,4,17,8,18,4,12,48,220
true_RELATIONSHIPS,1,3,3,1,0,4,1,2,28,5,8,4,24,1,944,0,1,1,10,5,15,0
true_RELIGION,2,1,4,4,2,7,1,4,15,0,19,10,3,52,2,203,0,2,0,6,5,43
true_SCIENCE_TECH,3,35,21,3,2,14,13,6,69,2,5,12,14,29,0,0,380,3,1,6,3,18
true_SPORTS,2,6,22,3,2,39,1,1,13,0,15,6,4,10,2,1,1,603,1,4,5,21
true_STYLE_BEAUTY,8,13,20,1,1,29,3,9,27,26,15,8,22,4,12,1,5,0,1548,15,17,4
true_TRAVEL,15,8,13,0,0,10,15,15,11,16,0,15,4,10,4,2,4,1,10,1314,3,14
true_WOMEN,3,18,11,7,5,33,0,0,51,1,13,20,35,41,11,6,3,12,10,4,231,8
true_WORLD_NEWS,12,14,5,25,3,25,30,1,15,0,15,28,4,116,0,14,15,19,1,13,4,1278
