true_class,predicted_class,count
POLITICS,WORLD_NEWS,220
IDENTITY_VOICES,ENTERTAINMENT,187
COMEDY_WEIRD,ENTERTAINMENT,172
POLITICS,ENTERTAINMENT,144
IDENTITY_VOICES,POLITICS,132
WORLD_NEWS,POLITICS,116
ENTERTAINMENT,POLITICS,111
LIFESTYLE,HEALTH_WELLNESS,109
POLITICS,IDENTITY_VOICES,102
HEALTH_WELLNESS,PARENTING,99
ENTERTAINMENT,COMEDY_WEIRD,94
HEALTH_WELLNESS,LIFESTYLE,89
BUSINESS_MONEY,POLITICS,83
ARTS_CULTURE,ENTERTAINMENT,76
COMEDY_WEIRD,POLITICS,74
PARENTING,HEALTH_WELLNESS,74
ENTERTAINMENT,IDENTITY_VOICES,73
SCIENCE_TECH,HEALTH_WELLNESS,69
PARENTING,LIFESTYLE,68
BUSINESS_MONEY,HEALTH_WELLNESS,67
HEALTH_WELLNESS,POLITICS,66
POLITICS,COMEDY_WEIRD,62
POLITICS,BUSINESS_MONEY,56
LIFESTYLE,WORLD_NEWS,54
RELIGION,POLITICS,52
ENVIRONMENT_GREEN,POLITICS,52
WOMEN,HEALTH_WELLNESS,51
CRIME,POLITICS,50
HEALTH_WELLNESS,FOOD_DRINK,49
ENTERTAINMENT,STYLE_BEAUTY,49
